chrom	start	end	optimal_ru	coding	period	obs_het	ABC_s_median	ABC_s_95%_CI	Num_s_accepted(max_5000)	Likelihood_0	Likelihood_s	LR	LogLR	LRT_p_value
chr1	8101148	8101180	13	0.0	3	0.8138518	0.00028	(0 , 0.00407)	2315	0.52	0.745	0.6979866	0.7191108	0.3964357
chr1	8111347	8111364	6	0.0	3	0.0013271	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	8237715	8237729	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	8319710	8319727	6	0.0	3	0.0018591	0.00026	(0 , 0.01329)	110	0.045	0.025	1.8	-1.1755733	1.0
chr1	8529753	8529770	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	8667681	8667698	6	0.0	3	0.006885	0.00013	(0 , 0.00321)	44	0.005	0.015	0.3333333	2.1972246	0.1382595
chr1	8715511	8715525	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	8806523	8806540	6	0.0	3	0.0021226	0.00028	(0 , 0.01267)	128	0.055	0.025	2.2	-1.5769147	1.0
chr1	8812650	8812667	6	0.0	3	0.0959895	6e-05	(2e-05 , 0.00074)	10	0.005	0.01	0.5	1.3862944	0.2390319
chr1	8847147	8847164	5	0.0	3	0.3047788	0.00042	(0.00042 , 0.00042)	1	0.005	0.01	0.5	1.3862944	0.2390319
chr1	8877696	8877710	6	0.0	3	0.4951759	0.0	(0 , 0.00065)	31	0.025	0.025	1.0	-0.0	1.0
chr1	8911906	8911923	6	0.0	3	0.0034587	0.00024	(0 , 0.01173)	71	0.025	0.025	1.0	-0.0	1.0
chr1	9012886	9012900	5	0.0	3	0.0002658	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	9038885	9038899	5	1.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	9088788	9088802	5	0.0	3	0.0007972	0.00065	(0 , 0.01871)	100	0.025	0.02	1.25	-0.4462871	1.0
chr1	9108258	9108278	7	0.0	3	0.0010623	0.00053	(0 , 0.02498)	1103	0.22	0.22	1.0	-0.0	1.0
chr1	9216071	9216085	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	9251437	9251472	12	0.0	3	0.6762562	0.00027	(0 , 0.00536)	3013	0.655	0.905	0.7237569	0.6465994	0.4213311
chr1	9291573	9291590	6	0.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	9312741	9312755	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	9617291	9617305	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	9627567	9627581	5	0.0	3	0.0005311	0.00044	(0 , 0.03103)	288	0.065	0.085	0.7647059	0.536528	0.4638752
chr1	9647482	9647520	13	0.0	3	0.7129285	0.00026	(0 , 0.0049)	2868	0.63	0.865	0.7283237	0.6340194	0.4258848
chr1	9713767	9713784	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	9783998	9784015	6	0.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	9823863	9823880	6	0.0	3	0.0002659	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	9831971	9831994	9	0.0	3	0.3001033	3e-05	(0 , 0.00174)	625	0.21	0.205	1.0243902	-0.0481951	1.0
chr1	9868624	9868641	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	9945699	9945713	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	9960503	9960517	5	0.0	3	0.0728508	0.0	(0 , 4e-05)	3	0.005	0.005	1.0	-0.0	1.0
chr1	9999555	9999569	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10000740	10000754	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10067729	10067746	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	10073724	10073744	7	0.0	3	0.0210837	8e-05	(0 , 0.00489)	78	0.035	0.03	1.1666667	-0.3083014	1.0
chr1	10081064	10081078	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	10147837	10147851	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10152260	10152295	12	0.0	3	0.6478025	0.00027	(0 , 0.00564)	3114	0.675	0.91	0.7417582	0.5974638	0.4395473
chr1	10157779	10157796	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	10167442	10167474	11	0.0	3	0.2004995	0.01123	(0 , 0.0201)	690	0.075	0.85	0.0882353	4.8554965	0.0275582
chr1	10236274	10236303	10	0.0	3	0.5482221	5e-05	(0 , 0.00162)	1783	0.575	0.555	1.036036	-0.0708039	1.0
chr1	10238709	10238738	10	0.0	3	0.5104331	6e-05	(0 , 0.00178)	1817	0.585	0.565	1.0353982	-0.0695722	1.0
chr1	10248191	10248214	8	0.0	3	0.5188148	0.0	(0 , 0.00067)	455	0.245	0.245	1.0	-0.0	1.0
chr1	10300238	10300267	10	0.0	3	0.5631543	5e-05	(0 , 0.00156)	1765	0.57	0.555	1.027027	-0.0533365	1.0
chr1	10300981	10300995	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10313888	10313908	7	0.0	3	0.0160854	8e-05	(0 , 0.00635)	100	0.035	0.035	1.0	-0.0	1.0
chr1	10375384	10375401	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	10384277	10384291	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10402051	10402065	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	10432638	10432655	6	0.0	3	0.0005322	0.00041	(0 , 0.04426)	1045	0.19	0.245	0.7755102	0.5084683	0.4758027
chr1	10478245	10478259	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10519952	10519966	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10639216	10639236	7	1.0	3	0.0010665	0.00053	(0 , 0.02498)	1103	0.22	0.22	1.0	-0.0	1.0
chr1	10771317	10771334	6	0.0	3	0.0	0.00075	(0 , 0.05658)	3582	0.695	0.675	1.0296296	-0.0583983	1.0
chr1	10871937	10871951	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	10899775	10899789	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	11029404	11029418	5	0.0	3	0.0002657	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	11035529	11035555	10	0.0	3	0.3179101	0.00028	(0 , 0.00332)	1068	0.23	0.225	1.0222222	-0.0439578	1.0
chr1	11154280	11154297	6	0.0	3	0.1010265	6e-05	(0 , 0.00074)	10	0.005	0.01	0.5	1.3862944	0.2390319
chr1	11260106	11260120	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	11264940	11264954	5	0.0	3	0.072428	0.0	(0 , 4e-05)	3	0.005	0.005	1.0	-0.0	1.0
chr1	11293674	11293688	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	11309996	11310010	5	0.0	3	0.0063559	0.00015	(0 , 0.01282)	10	0.01	0.005	2.0	-1.3862944	1.0
chr1	11315346	11315363	6	0.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	11315761	11315775	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	11334623	11334637	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	11362983	11363000	6	0.0	3	0.4892522	0.0	(0 , 0.00062)	32	0.025	0.025	1.0	-0.0	1.0
chr1	11383272	11383289	6	0.0	3	0.0150287	4e-05	(0 , 0.00527)	27	0.02	0.015	1.3333333	-0.5753641	1.0
chr1	11435761	11435775	5	0.0	3	0.0023887	1e-05	(0 , 0.01134)	16	0.02	0.01	2.0	-1.3862944	1.0
chr1	11470125	11470145	7	0.0	3	0.0664964	0.0	(0 , 0.00247)	50	0.03	0.03	1.0	-0.0	1.0
chr1	11470306	11470323	9	0.0	3	0.345946	2e-05	(0 , 0.0015)	792	0.285	0.27	1.0555556	-0.1081344	1.0
chr1	11473370	11473387	7	0.0	3	0.0362992	1e-05	(0 , 0.00516)	51	0.02	0.02	1.0	-0.0	1.0
chr1	11592516	11592542	8	0.0	3	0.3451023	0.0	(0 , 0.00118)	371	0.16	0.16	1.0	-0.0	1.0
chr1	11602436	11602450	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	11707205	11707219	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	11772895	11772915	7	0.0	3	0.7231327	0.0	(0 , 0.0004)	38	0.03	0.03	1.0	-0.0	1.0
chr1	11921528	11921542	5	0.0	3	0.0002669	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	11941468	11941494	9	0.0	3	0.1803125	0.00011	(0 , 0.00259)	465	0.12	0.065	1.8461538	-1.2262089	1.0
chr1	11977341	11977358	6	0.0	3	0.0005314	0.00041	(0 , 0.04426)	1045	0.19	0.245	0.7755102	0.5084683	0.4758027
chr1	11995278	11995295	6	0.0	3	0.0023884	0.0004	(0 , 0.012)	103	0.05	0.035	1.4285714	-0.7133499	1.0
chr1	12015454	12015471	6	0.0	3	0.0013274	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	12088765	12088779	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	12137315	12137332	7	0.0	3	0.4860663	0.0	(0 , 0.00042)	123	0.085	0.085	1.0	-0.0	1.0
chr1	12160716	12160730	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	12188309	12188326	6	0.0	3	0.0002656	0.00067	(0 , 0.05404)	4518	0.86	0.895	0.9608939	0.0797827	0.7775922
chr1	12204791	12204814	8	0.0	3	0.3924718	0.0	(0 , 0.00083)	512	0.255	0.255	1.0	-0.0	1.0
chr1	12286764	12286778	5	0.0	3	0.0002656	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	12366589	12366603	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	12512720	12512743	8	0.0	3	0.0050489	0.00065	(0 , 0.01516)	995	0.145	0.29	0.5	1.3862944	0.2390319
chr1	12575696	12575716	7	0.0	3	0.0906384	0.0	(0 , 0.00113)	50	0.02	0.02	1.0	-0.0	1.0
chr1	12589841	12589867	9	0.0	3	0.3061325	3e-05	(0 , 0.00154)	649	0.215	0.22	0.9772727	0.045979	0.8302139
chr1	12685878	12685892	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	12726462	12726476	5	0.0	3	0.0031839	0.0001	(0 , 0.01158)	11	0.015	0.005	3.0	-2.1972246	1.0
chr1	12763191	12763208	6	0.0	3	0.0013284	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	12816609	12816623	5	0.0	3	0.001065	0.00024	(0 , 0.01235)	45	0.02	0.02	1.0	-0.0	1.0
chr1	12871184	12871198	5	0.0	3	0.0002664	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	12875573	12875587	5	0.0	3	0.0	0.00059	(0 , 0.05156)	4643	0.91	0.945	0.962963	0.0754807	0.783518
chr1	12921818	12921832	5	0.0	3	0.05247	5e-05	(0 , 0.00035)	6	0.005	0.005	1.0	-0.0	1.0
chr1	13041433	13041447	5	0.0	3	0.0005557	0.00044	(0 , 0.03103)	288	0.065	0.085	0.7647059	0.536528	0.4638752
chr1	13045820	13045834	5	0.0	3	0.00029	0.00058	(0 , 0.04905)	4906	0.96	0.995	0.9648241	0.0716189	0.7889941
chr1	13060271	13060300	10	0.0	3	0.6098473	4e-05	(0 , 0.00145)	1667	0.55	0.585	0.9401709	0.1233871	0.7253895
chr1	13081509	13081526	6	0.0	3	0.0013291	0.00027	(0 , 0.01575)	240	0.065	0.05	1.3	-0.5247285	1.0
chr1	13145262	13145279	6	0.0	3	0.0015939	0.00028	(0 , 0.01483)	153	0.06	0.025	2.4	-1.7509375	1.0
chr1	13166490	13166519	10	0.0	3	0.6162075	5e-05	(0 , 0.00146)	1653	0.545	0.5	1.09	-0.1723554	1.0
chr1	13183097	13183114	6	0.0	3	0.1341687	3e-05	(0 , 0.00194)	14	0.01	0.01	1.0	-0.0	1.0
